DESIGNATION,Project_name,Department,Experience_level,Resource,Project_name.1,Resource_clearance,Department.1,Access,DESIGNATION_train,Project_name_train,Department_train,Experience_level_train,Resource_train,Project_name.1_train,Resource_clearance_train,Department.1_train,Access_train
CFO,NotA,ADMINISTRATION,senior,GPU,P3,medium,TECHNICAL,NO,HR MANAGER,NotA,HR,junior,SALARY_DETAIL,P1,low,HR,YES
CFO,NotA,ADMINISTRATION,senior,STORAGE,P3,medium,TECHNICAL,NO,HR MANAGER,NotA,HR,junior,SALARY_DETAIL,P1,low,HR,YES
CFO,NotA,ADMINISTRATION,senior,PF_DETAIL,P3,low,HR,NO,HR MANAGER,NotA,HR,junior,SALARY_DETAIL,P1,low,HR,YES
DATA_ANALYST,NotA,DEVELOPMENT,junior,GPU,P3,low,TECHNICAL,YES,HR MANAGER,NotA,HR,junior,SALARY_DETAIL,P1,low,HR,YES
DATA_ANALYST,NotA,DEVELOPMENT,junior,STORAGE,P3,low,TECHNICAL,YES,HR MANAGER,NotA,HR,junior,SALARY_DETAIL,P1,low,HR,YES
MTS,NotA,DEVELOPMENT,junior,GPU,P3,low,TECHNICAL,YES,HR MANAGER,NotA,HR,junior,SALARY_DETAIL,P1,low,HR,YES
MTS,NotA,DEVELOPMENT,junior,STORAGE,P3,low,TECHNICAL,YES,HR MANAGER,NotA,HR,junior,SALARY_DETAIL,P1,low,HR,YES
TESTER,NotA,DEVELOPMENT,junior,GPU,P3,low,TECHNICAL,YES,HR MANAGER,NotA,HR,junior,SALARY_DETAIL,P1,low,HR,YES
TESTER,NotA,DEVELOPMENT,junior,STORAGE,P3,low,TECHNICAL,YES,HR MANAGER,NotA,HR,junior,SALARY_DETAIL,P1,low,HR,YES
SYSTEM_ARCHITECT,NotA,DEVELOPMENT,junior,GPU,P3,low,TECHNICAL,YES,HR MANAGER,NotA,HR,junior,SALARY_DETAIL,P1,low,HR,YES
SYSTEM_ARCHITECT,NotA,DEVELOPMENT,junior,STORAGE,P3,low,TECHNICAL,YES,HR MANAGER,NotA,HR,junior,SALARY_DETAIL,P1,low,HR,YES
PRINCIPAL,NotA,DEVELOPMENT,junior,GPU,P3,low,TECHNICAL,YES,HR MANAGER,NotA,HR,junior,SALARY_DETAIL,P1,low,HR,YES
PRINCIPAL,NotA,DEVELOPMENT,junior,STORAGE,P3,low,TECHNICAL,YES,HR MANAGER,NotA,HR,junior,SALARY_DETAIL,P1,low,HR,YES
PRINCIPAL,NotA,DEVELOPMENT,junior,FINANCE_REPORT,P3,low,FINANCE,YES,HR MANAGER,NotA,HR,junior,SALARY_DETAIL,P1,low,HR,YES
PRINCIPAL,NotA,DEVELOPMENT,junior,ALLOCATED_FUND,P3,low,FINANCE,YES,HR MANAGER,NotA,HR,junior,SALARY_DETAIL,P1,low,HR,YES
PRINCIPAL,NotA,DEVELOPMENT,junior,TAX_DETAIL,P3,low,FINANCE,YES,HR MANAGER,NotA,HR,junior,SALARY_DETAIL,P1,low,HR,YES
PRINCIPAL,NotA,DEVELOPMENT,junior,PF_DETAIL,P3,low,FINANCE,YES,HR MANAGER,NotA,HR,junior,SALARY_DETAIL,P1,low,HR,YES
