Designation,Department,Degree,Year,Type,Department.1,Degree.1,Year.1,Access
vis_prof,IT,BE,4,stu_rec,IT,BE,4,Yes
adj_prof,IT,BE,2,attdn,IT,BE,2,Yes
stu,pha,BE,4,dept_bud,pha,BE,4,Yes
stu,IT,BE,1,dept_bud,IT,BE,1,Yes
adj_prof,pha,BE,NotA,q_pr,pha,BE,1,Yes
vis_prof,eni,ME,NotA,q_pr,eni,ME,4,Yes
stu,eni,BE,4,proj,eni,BE,4,Yes
adj_prof,pha,BE,NotA,q_pr,pha,BE,4,Yes
vis_prof,IT,BE,NotA,q_pr,IT,BE,3,Yes
stu,eni,ME,1,dept_bud,eni,ME,1,Yes
stu,pha,BE,2,proj,pha,BE,2,Yes
stu,IT,ME,2,proj,IT,ME,2,Yes
vis_prof,eni,BE,2,grade_book,eni,BE,2,Yes
vis_prof,IT,BE,NotA,q_pr,IT,BE,2,Yes
adj_prof,IT,ME,NotA,q_pr,IT,ME,4,Yes
stu,chem,ME,1,proj,chem,ME,1,Yes
stu,pha,BE,2,proj,pha,BE,2,Yes
vis_prof,chem,BE,4,grade_book,chem,BE,4,Yes
stu,IT,BE,1,proj,IT,BE,1,Yes
adj_prof,pha,BE,1,grade_book,pha,BE,1,Yes
vis_prof,chem,BE,NotA,q_pr,chem,BE,3,Yes
adj_prof,pha,ME,NotA,q_pr,pha,ME,2,Yes
stu,pha,BE,4,dept_bud,pha,BE,4,Yes
stu,chem,BE,1,dept_bud,chem,BE,1,Yes
stu,eni,BE,1,proj,eni,BE,1,Yes
adj_prof,eni,BE,3,stu_rec,eni,BE,3,Yes
adj_prof,pha,ME,NotA,q_pr,pha,ME,3,Yes
adj_prof,chem,BE,3,grade_book,chem,BE,3,Yes
adj_prof,eni,BE,NotA,q_pr,eni,BE,2,Yes
vis_prof,eni,BE,2,stu_rec,eni,BE,2,Yes
vis_prof,IT,BE,NotA,q_pr,IT,BE,3,Yes
stu,eni,BE,1,dept_bud,eni,BE,1,Yes
adj_prof,chem,ME,NotA,q_pr,chem,ME,4,Yes
stu,eni,BE,3,proj,eni,BE,3,Yes
vis_prof,chem,BE,NotA,q_pr,chem,BE,4,Yes
stu,pha,ME,1,proj,pha,ME,1,Yes
adj_prof,eni,BE,1,stu_rec,eni,BE,1,Yes
stu,eni,ME,2,proj,eni,ME,2,Yes
vis_prof,IT,BE,NotA,q_pr,IT,BE,4,Yes
vis_prof,chem,ME,NotA,q_pr,chem,ME,2,Yes
stu,IT,ME,2,dept_bud,IT,ME,2,Yes
vis_prof,chem,BE,4,attdn,chem,BE,4,Yes
vis_prof,chem,ME,NotA,q_pr,chem,ME,1,Yes
stu,pha,ME,1,dept_bud,pha,ME,1,Yes
stu,chem,BE,2,dept_bud,chem,BE,2,Yes
vis_prof,chem,ME,1,stu_rec,chem,ME,1,Yes
stu,pha,BE,3,dept_bud,pha,BE,3,Yes
vis_prof,IT,BE,4,grade_book,IT,BE,4,Yes
stu,pha,BE,3,dept_bud,pha,BE,3,Yes
vis_prof,chem,ME,1,attdn,chem,ME,1,Yes
stu,IT,BE,3,dept_bud,IT,BE,3,Yes
adj_prof,chem,BE,2,stu_rec,chem,BE,2,Yes
vis_prof,chem,BE,4,stu_rec,chem,BE,4,Yes
vis_prof,IT,BE,2,stu_rec,IT,BE,2,Yes
vis_prof,eni,BE,NotA,q_pr,eni,BE,3,Yes
adj_prof,IT,BE,1,attdn,IT,BE,1,Yes
vis_prof,IT,ME,NotA,q_pr,IT,ME,4,Yes
adj_prof,eni,BE,NotA,q_pr,eni,BE,1,Yes
adj_prof,chem,BE,NotA,q_pr,chem,BE,3,Yes
stu,IT,BE,2,dept_bud,IT,BE,2,Yes
adj_prof,chem,ME,NotA,q_pr,chem,ME,3,Yes
adj_prof,IT,BE,NotA,q_pr,IT,BE,1,Yes
stu,chem,BE,1,dept_bud,chem,BE,1,Yes
vis_prof,chem,BE,NotA,q_pr,chem,BE,2,Yes
stu,pha,BE,2,proj,pha,BE,2,Yes
vis_prof,IT,BE,NotA,q_pr,IT,BE,1,Yes
adj_prof,chem,BE,1,attdn,chem,BE,1,Yes
stu,IT,ME,1,proj,IT,ME,1,Yes
adj_prof,eni,ME,NotA,q_pr,eni,ME,3,Yes
vis_prof,chem,ME,2,grade_book,chem,ME,2,Yes
adj_prof,IT,ME,1,stu_rec,IT,ME,1,Yes
vis_prof,pha,BE,1,attdn,pha,BE,1,Yes
adj_prof,chem,ME,NotA,q_pr,chem,ME,1,Yes
stu,IT,BE,4,dept_bud,IT,BE,4,Yes
vis_prof,eni,ME,2,grade_book,eni,ME,2,Yes
vis_prof,eni,BE,4,stu_rec,eni,BE,4,Yes
adj_prof,eni,BE,NotA,q_pr,eni,BE,4,Yes
adj_prof,eni,ME,NotA,q_pr,eni,ME,4,Yes
adj_prof,pha,ME,NotA,q_pr,pha,ME,2,Yes
adj_prof,eni,ME,1,grade_book,eni,ME,1,Yes
vis_prof,pha,BE,NotA,q_pr,pha,BE,1,Yes
adj_prof,IT,ME,NotA,q_pr,IT,ME,1,Yes
vis_prof,eni,BE,NotA,q_pr,eni,BE,2,Yes
stu,chem,ME,1,proj,chem,ME,1,Yes
vis_prof,IT,NotA,NotA,std_mat,pha,ME,3,No
adj_prof,eni,NotA,NotA,std_mat,IT,BE,1,No
adj_prof,IT,NotA,NotA,std_mat,pha,BE,3,No
vis_prof,IT,NotA,NotA,std_mat,pha,ME,1,No
vis_prof,eni,NotA,NotA,std_mat,IT,ME,2,No
vis_prof,IT,NotA,NotA,std_mat,pha,ME,2,No
vis_prof,eni,NotA,NotA,std_mat,IT,ME,4,No
adj_prof,IT,NotA,NotA,std_mat,pha,BE,4,No
adj_prof,chem,NotA,NotA,std_mat,eni,BE,1,No
