Designation,Post,Course,Department,Degree,Year,Type,Department.1,Course.1,Degree.1,Year.1,Access,Designation_train,Post_train,Course_train,Department_train,Degree_train,Year_train,Type_train,Department.1_train,Course.1_train,Degree.1_train,Year.1_train,Access_train
Faculty,Assistant,IT_16,IT,NotA,NotA,compre_paper,IT,IT_19,BTech,1,Yes,Stud,Undergraduate,CSE_1,CSE,BTech,1,assgn,CSE,CSE_1,BTech,1,Yes
Faculty,Associate,IT_8,IT,NotA,NotA,mids_paper,IT,IT_9,BTech,1,Yes,Stud,Undergraduate,CSE_1,CSE,BTech,1,assgn,CSE,CSE_1,BTech,1,Yes
Faculty,Assistant,IT_8,IT,NotA,NotA,answer_sheet,IT,IT_14,BTech,2,Yes,Stud,Undergraduate,CSE_1,CSE,BTech,1,assgn,CSE,CSE_1,BTech,1,Yes
Faculty,Associate,IT_12,IT,NotA,NotA,compre_paper,IT,IT_20,BTech,2,Yes,Stud,Undergraduate,CSE_1,CSE,BTech,1,assgn,CSE,CSE_1,BTech,1,Yes
Faculty,Associate,IT_6,IT,NotA,NotA,compre_paper,IT,IT_16,BTech,3,Yes,Stud,Undergraduate,CSE_1,CSE,BTech,1,assgn,CSE,CSE_1,BTech,1,Yes
Faculty,Associate,IT_3,IT,NotA,NotA,compre_paper,IT,IT_6,BTech,1,Yes,Stud,Undergraduate,CSE_1,CSE,BTech,1,assgn,CSE,CSE_1,BTech,1,Yes
Faculty,Assistant,IT_7,IT,NotA,NotA,mids_paper,IT,IT_17,BTech,3,Yes,Stud,Undergraduate,CSE_1,CSE,BTech,1,assgn,CSE,CSE_1,BTech,1,Yes
Faculty,Assistant,IT_5,IT,NotA,NotA,assgn,IT,IT_13,BTech,2,Yes,Stud,Undergraduate,CSE_1,CSE,BTech,1,assgn,CSE,CSE_1,BTech,1,Yes
Faculty,Assistant,IT_2,IT,NotA,NotA,assgn,IT,IT_14,BTech,3,Yes,Stud,Undergraduate,CSE_1,CSE,BTech,1,assgn,CSE,CSE_1,BTech,1,Yes
Faculty,Associate,IT_14,IT,NotA,NotA,compre_paper,IT,IT_19,BTech,2,Yes,Stud,Undergraduate,CSE_1,CSE,BTech,1,assgn,CSE,CSE_1,BTech,1,Yes
Faculty,Associate,IT_6,IT,NotA,NotA,compre_paper,IT,IT_9,BTech,1,Yes,Stud,Undergraduate,CSE_1,CSE,BTech,1,assgn,CSE,CSE_1,BTech,1,Yes
