DESIGNATION,Project_name,Department,Experience_level,Resource,Project_name.1,Resource_clearance,Department.1,Access
CTO,NotA,ADMINISTRATION,senior,PF_DETAIL,P1,medium,HR,NO
CTO,NotA,ADMINISTRATION,senior,FINANCE_REPORT,P1,medium,FINANCE,NO
CTO,NotA,ADMINISTRATION,senior,FINANCE_REPORT,P2,high,FINANCE,NO
CTO,NotA,ADMINISTRATION,senior,TAX_DETAIL,P1,low,FINANCE,NO
CTO,NotA,ADMINISTRATION,senior,TAX_DETAIL,P2,low,FINANCE,NO
DATABASE_ENGINEER,NotA,TECHNICAL,junior,PROJECT_COST,P3,medium,FINANCE,NO
DATABASE_ENGINEER,NotA,TECHNICAL,junior,NETWORK_SETUP,P3,low,TECHNICAL,NO
DATABASE_ENGINEER,NotA,TECHNICAL,intermediate,ALLOCATED_FUND,P1,high,FINANCE,NO
DATABASE_ENGINEER,NotA,TECHNICAL,junior,ALLOCATED_FUND,P2,medium,FINANCE,NO
DATABASE_ENGINEER,NotA,TECHNICAL,junior,TAX_DETAIL,P1,high,FINANCE,NO
DATABASE_ENGINEER,NotA,TECHNICAL,junior,TAX_DETAIL,P2,low,FINANCE,NO
DESIGNER,P3,DEVELOPMENT,senior,PROJECT_DETAIL,P3,medium,DEVELOPMENT,YES
DESIGNER,P3,DEVELOPMENT,intermediate,SERVER,P3,medium,TECHNICAL,YES
DESIGNER,P3,DEVELOPMENT,junior,SERVER,P2,low,TECHNICAL,YES
DESIGNER,P3,DEVELOPMENT,senior,DATABASE,P2,high,TECHNICAL,YES
DESIGNER,P1,DEVELOPMENT,senior,PROJECT_DETAIL,P1,high,DEVELOPMENT,YES
DESIGNER,P2,DEVELOPMENT,junior,PROJECT_DETAIL,P2,low,DEVELOPMENT,YES
DESIGNER,P1,DEVELOPMENT,junior,STORAGE,P1,low,TECHNICAL,YES
DESIGNER,P2,DEVELOPMENT,senior,GPU,P2,high,TECHNICAL,YES
HR MANAGER,NotA,HR,junior,SALARY_DETAIL,P3,low,HR,YES
HR MANAGER,NotA,HR,senior,CLIENT_DETAIL,P3,high,HR,YES
HR MANAGER,NotA,HR,intermediate,PF_DETAIL,P1,medium,HR,YES
HR MANAGER,NotA,HR,intermediate,PF_DETAIL,P2,medium,HR,YES
IT_MANAGER,NotA,TECHNICAL,junior,PROJECT_COST,P3,high,FINANCE,NO
IT_MANAGER,NotA,TECHNICAL,junior,ALLOCATED_FUND,P1,low,FINANCE,NO
IT_MANAGER,NotA,TECHNICAL,junior,ALLOCATED_FUND,P2,medium,FINANCE,NO
IT_MANAGER,NotA,TECHNICAL,junior,TAX_DETAIL,P1,medium,FINANCE,NO
IT_MANAGER,NotA,TECHNICAL,junior,TAX_DETAIL,P2,medium,FINANCE,NO
NETWORK_ENGINEER,NotA,TECHNICAL,junior,PROJECT_COST,P3,high,FINANCE,NO
NETWORK_ENGINEER,NotA,TECHNICAL,junior,DATABASE,P3,medium,TECHNICAL,NO
NETWORK_ENGINEER,NotA,TECHNICAL,junior,FINANCE_REPORT,P1,medium,FINANCE,NO
NETWORK_ENGINEER,NotA,TECHNICAL,intermediate,FINANCE_REPORT,P2,high,FINANCE,NO
NETWORK_ENGINEER,NotA,TECHNICAL,junior,TAX_DETAIL,P1,high,FINANCE,NO
NETWORK_ENGINEER,NotA,TECHNICAL,junior,TAX_DETAIL,P2,medium,FINANCE,NO
PRINCIPAL,NotA,DEVELOPMENT,junior,CLIENT_DETAIL,P1,low,HR,YES
PRINCIPAL,NotA,DEVELOPMENT,junior,CLIENT_DETAIL,P2,low,HR,YES
PRINCIPAL,NotA,DEVELOPMENT,intermediate,EMP_DETAIL,P1,medium,DEVELOPMENT,YES
PRINCIPAL,NotA,DEVELOPMENT,junior,EMP_DETAIL,P2,low,DEVELOPMENT,YES
PRINCIPAL,NotA,DEVELOPMENT,intermediate,PROJECT_DETAIL,P1,medium,DEVELOPMENT,YES
PRINCIPAL,NotA,DEVELOPMENT,junior,PROJECT_DETAIL,P2,low,DEVELOPMENT,YES
PROGRAMMER,P3,DEVELOPMENT,senior,PROJECT_DETAIL,P3,medium,DEVELOPMENT,YES
PROGRAMMER,P3,DEVELOPMENT,senior,SERVER,P3,high,TECHNICAL,YES
PROGRAMMER,P3,DEVELOPMENT,junior,DATABASE,P3,low,TECHNICAL,YES
PROGRAMMER,P3,DEVELOPMENT,junior,PROJECT_DETAIL,P2,low,DEVELOPMENT,YES
PROGRAMMER,P1,DEVELOPMENT,intermediate,PROJECT_DETAIL,P1,medium,DEVELOPMENT,YES
PROGRAMMER,P1,DEVELOPMENT,intermediate,STORAGE,P1,medium,TECHNICAL,YES
PROGRAMMER,P2,DEVELOPMENT,junior,GPU,P2,low,TECHNICAL,YES
PROJECT_LEADER,NotA,DEVELOPMENT,senior,CLIENT_DETAIL,P3,high,HR,YES
PROJECT_LEADER,NotA,DEVELOPMENT,senior,EMP_DETAIL,P3,high,DEVELOPMENT,YES
PROJECT_LEADER,NotA,DEVELOPMENT,senior,PROJECT_DETAIL,P3,high,DEVELOPMENT,YES
PROJECT_MANAGER,P3,DEVELOPMENT,intermediate,PROJECT_DETAIL,P1,high,DEVELOPMENT,NO
PROJECT_MANAGER,P3,DEVELOPMENT,senior,EMP_DETAIL,P3,high,DEVELOPMENT,YES
PROJECT_MANAGER,P3,DEVELOPMENT,senior,SERVER,P3,medium,TECHNICAL,YES
SDE,P3,DEVELOPMENT,junior,PROJECT_DETAIL,P3,low,DEVELOPMENT,YES
SDE,P3,DEVELOPMENT,senior,SERVER,P3,high,TECHNICAL,YES
SDE,P3,DEVELOPMENT,junior,DATABASE,P3,low,TECHNICAL,YES
SDE,P1,DEVELOPMENT,senior,STORAGE,P1,high,TECHNICAL,YES
SECURTY_ENGINEER,NotA,TECHNICAL,junior,PROJECT_COST,P1,medium,FINANCE,NO
SECURTY_ENGINEER,NotA,TECHNICAL,junior,PROJECT_COST,P2,low,FINANCE,NO
SYSTEM_ARCHITECT,P1,DEVELOPMENT,senior,PROJECT_DETAIL,P1,medium,DEVELOPMENT,YES
SYSTEM_ARCHITECT,P1,DEVELOPMENT,senior,EMP_DETAIL,P1,medium,DEVELOPMENT,YES
SYSTEM_ARCHITECT,P1,DEVELOPMENT,senior,SERVER,P1,high,TECHNICAL,YES
SYSTEM_ARCHITECT,P1,DEVELOPMENT,senior,NETWORK_SETUP,P1,high,TECHNICAL,YES
SYSTEM_ARCHITECT,P2,DEVELOPMENT,senior,PROJECT_DETAIL,P2,medium,DEVELOPMENT,YES
SYSTEM_ARCHITECT,P2,DEVELOPMENT,intermediate,EMP_DETAIL,P2,medium,DEVELOPMENT,YES
SYSTEM_ARCHITECT,P2,DEVELOPMENT,senior,SERVER,P2,medium,TECHNICAL,YES
TESTER,P1,DEVELOPMENT,senior,DATABASE,P1,high,TECHNICAL,YES
TESTER,P1,DEVELOPMENT,junior,PROJECT_DETAIL,P1,low,DEVELOPMENT,YES
