DESIGNATION,Project_name,Department,Experience_level,Resource,Project_name.1,Resource_clearance,Department.1,Access
SECURITY_ENGINEER,NotA,TECHNICAL,intermediate,PF_DETAIL,P3,high,HR,NO
SECURITY_ENGINEER,NotA,TECHNICAL,junior,ALLOCATED_FUND,P3,low,FINANCE,NO
SECURITY_ENGINEER,NotA,TECHNICAL,junior,ALLOCATED_FUND,P3,medium,FINANCE,NO
SECURITY_ENGINEER,NotA,TECHNICAL,junior,TAX_DETAIL,P3,medium,FINANCE,NO
SYSTEM_ARCHITECT,P1,DEVELOPMENT,junior,GPU,P3,low,TECHNICAL,NO
SYSTEM_ARCHITECT,P2,DEVELOPMENT,junior,GPU,P3,high,TECHNICAL,NO
PRINCIPAL,NotA,DEVELOPMENT,senior,GPU,P3,high,TECHNICAL,YES
SECURTY_ENGINEER,NotA,TECHNICAL,senior,GPU,P3,high,TECHNICAL,YES
SECURTY_ENGINEER,NotA,TECHNICAL,senior,GPU,P3,medium,TECHNICAL,YES
SYSTEM_ARCHITECT,P1,DEVELOPMENT,senior,GPU,P3,high,TECHNICAL,YES
SYSTEM_ARCHITECT,P2,DEVELOPMENT,senior,GPU,P3,medium,TECHNICAL,YES
PRINCIPAL,NotA,DEVELOPMENT,senior,STORAGE,P3,high,TECHNICAL,YES
SECURTY_ENGINEER,NotA,TECHNICAL,senior,STORAGE,P3,high,TECHNICAL,YES
SECURTY_ENGINEER,NotA,TECHNICAL,senior,STORAGE,P3,medium,TECHNICAL,YES
SYSTEM_ARCHITECT,P1,DEVELOPMENT,senior,STORAGE,P3,high,TECHNICAL,YES
SYSTEM_ARCHITECT,P1,DEVELOPMENT,junior,STORAGE,P3,low,TECHNICAL,NO
SYSTEM_ARCHITECT,P2,DEVELOPMENT,junior,STORAGE,P3,high,TECHNICAL,NO
SYSTEM_ARCHITECT,P2,DEVELOPMENT,senior,STORAGE,P3,medium,TECHNICAL,YES
PRINCIPAL,NotA,DEVELOPMENT,junior,PF_DETAIL,P3,low,HR,NO
SECURTY_ENGINEER,NotA,TECHNICAL,junior,PF_DETAIL,P3,high,HR,NO
SECURTY_ENGINEER,NotA,TECHNICAL,junior,PF_DETAIL,P3,medium,HR,NO
SYSTEM_ARCHITECT,P1,DEVELOPMENT,junior,PF_DETAIL,P3,low,HR,NO
SYSTEM_ARCHITECT,P2,DEVELOPMENT,junior,PF_DETAIL,P3,low,HR,NO
MTS,P1,DEVELOPMENT,junior,PF_DETAIL,P3,high,HR,NO
MTS,P1,DEVELOPMENT,junior,PF_DETAIL,P3,medium,HR,NO
MTS,P2,DEVELOPMENT,junior,PF_DETAIL,P3,medium,HR,NO
MTS,P1,DEVELOPMENT,junior,ALLOCATED_FUND,P3,high,FINANCE,NO
MTS,P1,DEVELOPMENT,junior,ALLOCATED_FUND,P3,low,FINANCE,NO
MTS,P2,DEVELOPMENT,junior,FINANCE_REPORT,P3,low,FINANCE,NO
MTS,P2,DEVELOPMENT,intermediate,FINANCE_REPORT,P3,high,FINANCE,NO
MTS,P1,DEVELOPMENT,junior,TAX_DETAIL,P3,high,FINANCE,NO
