DESIGNATION,Project_name,Department,Experience_level,Resource,Project_name.1,Resource_clearance,Department.1,Access
HR MANAGER,NotA,HR,junior,SALARY_DETAIL,P1,low,HR,YES
HR MANAGER,NotA,HR,senior,SALARY_DETAIL,P2,medium,HR,YES
HR MANAGER,NotA,HR,senior,CLIENT_DETAIL,P1,high,HR,YES
HR MANAGER,NotA,HR,junior,CLIENT_DETAIL,P2,low,HR,YES
HR MANAGER,NotA,HR,junior,EMP_DETAIL,P1,medium,DEVELOPMENT,NO
HR MANAGER,NotA,HR,junior,EMP_DETAIL,P2,medium,DEVELOPMENT,NO
HR MANAGER,NotA,HR,junior,PROJECT_DETAIL,P1,medium,DEVELOPMENT,NO
HR MANAGER,NotA,HR,intermediate,PROJECT_DETAIL,P2,high,DEVELOPMENT,NO
HR MANAGER,NotA,HR,junior,PROJECT_COST,P1,low,FINANCE,NO
HR MANAGER,NotA,HR,junior,PROJECT_COST,P2,medium,FINANCE,NO
HR MANAGER,NotA,HR,junior,SERVER,P1,medium,TECHNICAL,NO
HR MANAGER,NotA,HR,junior,SERVER,P2,low,TECHNICAL,NO
HR MANAGER,NotA,HR,junior,DATABASE,P1,low,TECHNICAL,NO
HR MANAGER,NotA,HR,junior,DATABASE,P2,high,TECHNICAL,NO
HR MANAGER,NotA,HR,junior,NETWORK_SETUP,P1,medium,TECHNICAL,NO
HR MANAGER,NotA,HR,junior,NETWORK_SETUP,P2,medium,TECHNICAL,NO
FINANCE MANAGER,NotA,FINANCE,intermediate,PROJECT_COST,P1,medium,FINANCE,YES
FINANCE MANAGER,NotA,FINANCE,junior,PROJECT_COST,P2,low,FINANCE,YES
FINANCE MANAGER,NotA,FINANCE,junior,EMP_DETAIL,P1,high,DEVELOPMENT,NO
FINANCE MANAGER,NotA,FINANCE,junior,EMP_DETAIL,P2,low,DEVELOPMENT,NO
FINANCE MANAGER,NotA,FINANCE,intermediate,SALARY_DETAIL,P1,high,HR,NO
FINANCE MANAGER,NotA,FINANCE,junior,SALARY_DETAIL,P2,high,HR,NO
FINANCE MANAGER,NotA,FINANCE,junior,CLIENT_DETAIL,P1,high,HR,NO
FINANCE MANAGER,NotA,FINANCE,intermediate,CLIENT_DETAIL,P2,high,HR,NO
FINANCE MANAGER,NotA,FINANCE,intermediate,PROJECT_DETAIL,P1,high,DEVELOPMENT,NO
FINANCE MANAGER,NotA,FINANCE,junior,PROJECT_DETAIL,P2,high,DEVELOPMENT,NO
FINANCE MANAGER,NotA,FINANCE,junior,SERVER,P1,low,TECHNICAL,NO
FINANCE MANAGER,NotA,FINANCE,intermediate,SERVER,P2,high,TECHNICAL,NO
FINANCE MANAGER,NotA,FINANCE,junior,DATABASE,P1,high,TECHNICAL,NO
FINANCE MANAGER,NotA,FINANCE,junior,DATABASE,P2,high,TECHNICAL,NO
FINANCE MANAGER,NotA,FINANCE,junior,NETWORK_SETUP,P1,medium,TECHNICAL,NO
FINANCE MANAGER,NotA,FINANCE,junior,NETWORK_SETUP,P2,low,TECHNICAL,NO
CTO,NotA,ADMINISTRATION,senior,SERVER,P1,medium,TECHNICAL,YES
CTO,NotA,ADMINISTRATION,senior,SERVER,P2,high,TECHNICAL,YES
CTO,NotA,ADMINISTRATION,senior,DATABASE,P1,medium,TECHNICAL,YES
CTO,NotA,ADMINISTRATION,senior,DATABASE,P2,high,TECHNICAL,YES
CTO,NotA,ADMINISTRATION,senior,NETWORK_SETUP,P1,high,TECHNICAL,YES
CTO,NotA,ADMINISTRATION,senior,NETWORK_SETUP,P2,low,TECHNICAL,YES
CTO,NotA,ADMINISTRATION,senior,PROJECT_DETAIL,P1,medium,DEVELOPMENT,YES
CTO,NotA,ADMINISTRATION,senior,PROJECT_DETAIL,P2,low,DEVELOPMENT,YES
CTO,NotA,ADMINISTRATION,senior,EMP_DETAIL,P1,high,DEVELOPMENT,NO
CTO,NotA,ADMINISTRATION,senior,EMP_DETAIL,P2,high,DEVELOPMENT,NO
CTO,NotA,ADMINISTRATION,senior,SALARY_DETAIL,P1,low,HR,NO
CTO,NotA,ADMINISTRATION,senior,SALARY_DETAIL,P2,low,HR,NO
CTO,NotA,ADMINISTRATION,senior,CLIENT_DETAIL,P1,high,HR,NO
CTO,NotA,ADMINISTRATION,senior,CLIENT_DETAIL,P2,low,HR,NO
CTO,NotA,ADMINISTRATION,senior,PROJECT_COST,P1,medium,FINANCE,NO
CTO,NotA,ADMINISTRATION,senior,PROJECT_COST,P2,low,FINANCE,NO
CEO,NotA,ADMINISTRATION,senior,SALARY_DETAIL,P1,low,HR,YES
CEO,NotA,ADMINISTRATION,senior,SALARY_DETAIL,P2,medium,HR,YES
CEO,NotA,ADMINISTRATION,senior,CLIENT_DETAIL,P1,medium,HR,YES
CEO,NotA,ADMINISTRATION,senior,CLIENT_DETAIL,P2,low,HR,YES
CEO,NotA,ADMINISTRATION,senior,EMP_DETAIL,P1,low,DEVELOPMENT,YES
