Designation,Department,Degree,Year,Type,Department.1,Degree.1,Year.1,Access
stu,chem,BE,3,attdn,chem,BE,3,Yes
stu,eni,ME,1,attdn,eni,ME,1,Yes
stu,pha,BE,3,stu_rec,pha,BE,3,Yes
stu,pha,BE,1,attdn,pha,BE,1,Yes
stu,eni,ME,1,stu_rec,eni,ME,1,Yes
stu,chem,BE,4,stu_rec,chem,BE,4,Yes
stu,pha,BE,4,stu_rec,pha,BE,4,Yes
stu,chem,ME,1,attdn,chem,ME,1,Yes
stu,IT,BE,2,grade_book,IT,BE,2,Yes
stu,pha,BE,4,grade_book,pha,BE,4,Yes
stu,pha,BE,1,stu_rec,pha,BE,1,Yes
stu,IT,ME,1,stu_rec,IT,ME,1,Yes
stu,chem,BE,2,grade_book,chem,BE,2,Yes
stu,IT,BE,4,grade_book,IT,BE,4,Yes
stu,chem,BE,1,attdn,chem,BE,1,Yes
stu,pha,BE,4,attdn,pha,BE,4,Yes
stu,chem,ME,1,stu_rec,chem,ME,1,Yes
stu,pha,BE,2,attdn,pha,BE,2,Yes
stu,pha,BE,3,attdn,pha,BE,3,Yes
stu,pha,BE,3,grade_book,pha,BE,3,Yes
stu,chem,ME,1,grade_book,chem,ME,1,Yes
stu,chem,BE,4,attdn,chem,BE,4,Yes
stu,IT,BE,1,attdn,IT,BE,1,Yes
stu,eni,BE,3,stu_rec,eni,BE,3,Yes
stu,chem,ME,2,attdn,chem,ME,2,Yes
stu,IT,BE,4,attdn,IT,BE,4,Yes
stu,chem,ME,2,grade_book,chem,ME,2,Yes
stu,IT,ME,1,grade_book,IT,ME,1,Yes
stu,IT,BE,3,grade_book,IT,BE,3,Yes
stu,eni,ME,2,stu_rec,eni,ME,2,Yes
stu,IT,ME,1,attdn,IT,ME,1,Yes
stu,eni,BE,3,attdn,eni,BE,3,Yes
stu,chem,ME,2,stu_rec,chem,ME,2,Yes
stu,chem,BE,3,grade_book,chem,BE,3,Yes
stu,pha,ME,2,grade_book,pha,ME,2,Yes
stu,IT,BE,4,stu_rec,IT,BE,4,Yes
stu,chem,BE,2,attdn,chem,BE,2,Yes
stu,IT,BE,2,attdn,IT,BE,2,Yes
stu,IT,ME,2,stu_rec,IT,ME,2,Yes
stu,chem,BE,1,stu_rec,chem,BE,1,Yes
stu,eni,ME,2,attdn,eni,ME,2,Yes
stu,eni,BE,2,attdn,eni,BE,2,Yes
stu,pha,ME,2,attdn,pha,ME,2,Yes
stu,eni,BE,1,stu_rec,eni,BE,1,Yes
stu,eni,BE,1,grade_book,eni,BE,1,Yes
stu,pha,BE,2,grade_book,pha,BE,2,Yes
stu,eni,BE,2,stu_rec,eni,BE,2,Yes
stu,eni,BE,1,attdn,eni,BE,1,Yes
stu,chem,BE,2,stu_rec,chem,BE,2,Yes
stu,pha,BE,2,stu_rec,pha,BE,2,Yes
stu,IT,BE,3,attdn,IT,BE,3,Yes
stu,IT,BE,1,stu_rec,IT,BE,1,Yes
vis_prof,chem,NotA,NotA,std_mat,eni,mtech,3,No
vis_prof,eni,NotA,NotA,std_mat,IT,btech,2,No
adj_prof,eni,NotA,NotA,std_mat,IT,btech,4,No
adj_prof,IT,NotA,NotA,std_mat,pha,mtech,4,No
vis_prof,IT,NotA,NotA,std_mat,pha,mtech,1,No
adj_prof,pha,NotA,NotA,std_mat,chem,btech,2,No
vis_prof,IT,NotA,NotA,std_mat,pha,mtech,3,No
adj_prof,chem,NotA,NotA,std_mat,eni,btech,2,No
vis_prof,IT,NotA,NotA,std_mat,pha,btech,2,No
adj_prof,pha,NotA,NotA,std_mat,chem,mtech,3,No
vis_prof,pha,NotA,NotA,std_mat,chem,mtech,1,No
adj_prof,pha,NotA,NotA,std_mat,chem,btech,3,No
vis_prof,chem,NotA,NotA,std_mat,eni,btech,3,No
adj_prof,chem,NotA,NotA,std_mat,eni,btech,4,No
adj_prof,IT,NotA,NotA,std_mat,pha,btech,3,No
adj_prof,eni,NotA,NotA,std_mat,IT,mtech,1,No
vis_prof,eni,NotA,NotA,std_mat,IT,btech,3,No
adj_prof,IT,NotA,NotA,std_mat,pha,btech,1,No
vis_prof,IT,NotA,NotA,std_mat,pha,btech,4,No
vis_prof,chem,NotA,NotA,std_mat,eni,mtech,4,No
vis_prof,chem,NotA,NotA,std_mat,eni,btech,1,No
vis_prof,eni,NotA,NotA,std_mat,IT,mtech,1,No
vis_prof,IT,NotA,NotA,std_mat,pha,btech,1,No
adj_prof,eni,NotA,NotA,std_mat,IT,btech,2,No
vis_prof,eni,NotA,NotA,std_mat,IT,mtech,4,No
adj_prof,IT,NotA,NotA,std_mat,pha,btech,2,No
adj_prof,IT,NotA,NotA,std_mat,pha,mtech,1,No
adj_prof,pha,NotA,NotA,std_mat,chem,btech,4,No
adj_prof,chem,NotA,NotA,std_mat,eni,mtech,3,No
adj_prof,IT,NotA,NotA,std_mat,pha,mtech,3,No
adj_prof,IT,NotA,NotA,std_mat,pha,btech,4,No
adj_prof,eni,NotA,NotA,std_mat,IT,btech,1,No
adj_prof,IT,NotA,NotA,std_mat,pha,mtech,2,No
vis_prof,chem,NotA,NotA,std_mat,eni,btech,4,No
adj_prof,pha,NotA,NotA,std_mat,chem,btech,1,No
adj_prof,chem,NotA,NotA,std_mat,eni,mtech,1,No
adj_prof,eni,NotA,NotA,std_mat,IT,mtech,2,No
adj_prof,pha,NotA,NotA,std_mat,chem,mtech,2,No
adj_prof,chem,NotA,NotA,std_mat,eni,mtech,2,No
adj_prof,eni,NotA,NotA,std_mat,IT,mtech,3,No
