Designation,Department,Degree,Year,Type,Department.1,Degree.1,Year.1,Access,Designation_train,Department_train,Degree_train,Year_train,Type_train,Department.1_train,Degree.1_train,Year.1_train,Access_train
vis_prof,IT,NotA,NotA,std_mat,pha,ME,3,No,stu,ece,btech,2,attdn,ce,mtech,2,No
vis_prof,eni,BE,2,attdn,IT,BE,2,No,stu,ece,btech,2,attdn,ce,mtech,2,No
vis_prof,eni,ME,NotA,std_mat,IT,mtech,3,No,stu,ece,btech,2,attdn,ce,mtech,2,No
adj_prof,eni,NotA,NotA,std_mat,IT,BE,1,No,stu,ece,btech,2,attdn,ce,mtech,2,No
vis_prof,IT,ME,2,attdn,pha,ME,2,No,stu,ece,btech,2,attdn,ce,mtech,2,No
adj_prof,eni,BE,3,stu_rec,IT,BE,3,No,stu,ece,btech,2,attdn,ce,mtech,2,No
adj_prof,IT,NotA,NotA,std_mat,pha,BE,3,No,stu,ece,btech,2,attdn,ce,mtech,2,No
adj_prof,chem,ME,1,attdn,eni,ME,1,No,stu,ece,btech,2,attdn,ce,mtech,2,No
vis_prof,IT,BE,2,std_mat,pha,BE,2,No,stu,ece,btech,2,attdn,ce,mtech,2,No
vis_prof,IT,ME,NotA,std_mat,pha,btech,4,No,stu,ece,btech,2,attdn,ce,mtech,2,No
adj_prof,IT,BE,1,stu_rec,pha,BE,1,No,stu,ece,btech,2,attdn,ce,mtech,2,No
vis_prof,chem,BE,3,std_mat,eni,BE,3,No,stu,ece,btech,2,attdn,ce,mtech,2,No
vis_prof,eni,ME,2,stu_rec,IT,ME,2,No,stu,ece,btech,2,attdn,ce,mtech,2,No
adj_prof,pha,BE,2,std_mat,chem,BE,2,No,stu,ece,btech,2,attdn,ce,mtech,2,No
vis_prof,chem,ME,NotA,std_mat,eni,btech,2,No,stu,ece,btech,2,attdn,ce,mtech,2,No
vis_prof,pha,BE,NotA,std_mat,chem,mtech,1,No,stu,ece,btech,2,attdn,ce,mtech,2,No
adj_prof,eni,BE,4,attdn,IT,BE,4,No,stu,ece,btech,2,attdn,ce,mtech,2,No
vis_prof,chem,ME,2,attdn,eni,ME,2,No,stu,ece,btech,2,attdn,ce,mtech,2,No
adj_prof,eni,ME,2,std_mat,IT,ME,2,No,stu,ece,btech,2,attdn,ce,mtech,2,No
vis_prof,IT,NotA,NotA,std_mat,pha,ME,1,No,stu,ece,btech,2,attdn,ce,mtech,2,No
adj_prof,IT,BE,1,std_mat,pha,BE,1,No,stu,ece,btech,2,attdn,ce,mtech,2,No
adj_prof,eni,BE,1,std_mat,IT,BE,1,No,stu,ece,btech,2,attdn,ce,mtech,2,No
vis_prof,pha,BE,4,attdn,chem,BE,4,No,stu,ece,btech,2,attdn,ce,mtech,2,No
vis_prof,pha,BE,NotA,std_mat,chem,btech,1,No,stu,ece,btech,2,attdn,ce,mtech,2,No
adj_prof,IT,BE,NotA,std_mat,pha,mtech,3,No,stu,ece,btech,2,attdn,ce,mtech,2,No
vis_prof,eni,ME,1,attdn,IT,ME,1,No,stu,ece,btech,2,attdn,ce,mtech,2,No
vis_prof,eni,NotA,NotA,std_mat,IT,ME,2,No,stu,ece,btech,2,attdn,ce,mtech,2,No
adj_prof,eni,BE,NotA,std_mat,IT,btech,1,No,stu,ece,btech,2,attdn,ce,mtech,2,No
vis_prof,pha,BE,3,attdn,chem,BE,3,No,stu,ece,btech,2,attdn,ce,mtech,2,No
vis_prof,pha,ME,2,std_mat,chem,ME,2,No,stu,ece,btech,2,attdn,ce,mtech,2,No
vis_prof,chem,BE,NotA,std_mat,eni,mtech,1,No,stu,ece,btech,2,attdn,ce,mtech,2,No
adj_prof,chem,BE,NotA,std_mat,eni,btech,1,No,stu,ece,btech,2,attdn,ce,mtech,2,No
vis_prof,IT,NotA,NotA,std_mat,pha,ME,2,No,stu,ece,btech,2,attdn,ce,mtech,2,No
vis_prof,eni,NotA,NotA,std_mat,IT,ME,4,No,stu,ece,btech,2,attdn,ce,mtech,2,No
adj_prof,chem,ME,NotA,std_mat,eni,btech,2,No,stu,ece,btech,2,attdn,ce,mtech,2,No
adj_prof,chem,BE,4,std_mat,eni,BE,4,No,stu,ece,btech,2,attdn,ce,mtech,2,No
adj_prof,pha,ME,NotA,std_mat,chem,mtech,3,No,stu,ece,btech,2,attdn,ce,mtech,2,No
vis_prof,IT,BE,3,stu_rec,pha,BE,3,No,stu,ece,btech,2,attdn,ce,mtech,2,No
vis_prof,IT,ME,NotA,std_mat,pha,mtech,4,No,stu,ece,btech,2,attdn,ce,mtech,2,No
adj_prof,IT,NotA,NotA,std_mat,pha,BE,4,No,stu,ece,btech,2,attdn,ce,mtech,2,No
vis_prof,eni,ME,1,std_mat,IT,ME,1,No,stu,ece,btech,2,attdn,ce,mtech,2,No
adj_prof,eni,ME,NotA,std_mat,IT,btech,3,No,stu,ece,btech,2,attdn,ce,mtech,2,No
adj_prof,pha,BE,NotA,std_mat,chem,btech,4,No,stu,ece,btech,2,attdn,ce,mtech,2,No
vis_prof,pha,BE,1,attdn,chem,BE,1,No,stu,ece,btech,2,attdn,ce,mtech,2,No
adj_prof,IT,BE,3,attdn,pha,BE,3,No,stu,ece,btech,2,attdn,ce,mtech,2,No
adj_prof,chem,NotA,NotA,std_mat,eni,BE,1,No,stu,ece,btech,2,attdn,ce,mtech,2,No
adj_prof,eni,NotA,NotA,std_mat,IT,BE,4,No,stu,ece,btech,2,attdn,ce,mtech,2,No
adj_prof,chem,BE,3,attdn,eni,BE,3,No,stu,ece,btech,2,attdn,ce,mtech,2,No
adj_prof,IT,NotA,NotA,std_mat,pha,ME,2,No,stu,ece,btech,2,attdn,ce,mtech,2,No
vis_prof,pha,ME,1,stu_rec,chem,ME,1,No,stu,ece,btech,2,attdn,ce,mtech,2,No
adj_prof,chem,BE,1,stu_rec,eni,BE,1,No,stu,ece,btech,2,attdn,ce,mtech,2,No
adj_prof,chem,BE,3,stu_rec,eni,BE,3,No,stu,ece,btech,2,attdn,ce,mtech,2,No
