Cluster,Dataset,Designation,Department,Degree,Year,Type,Department.1,Degree.1,Year.1,Access
0,1,prof,IT,NotA,NotA,std_mat,chem,mtech,1,Yes
0,1,prof,IT,NotA,NotA,std_mat,ece,btech,3,Yes
0,1,prof,chem,NotA,NotA,std_mat,eni,btech,3,Yes
1,1,prof,pha,NotA,NotA,attdn,eni,btech,4,Yes
-1,1,prof,chem,NotA,NotA,std_mat,chem,btech,1,Yes
0,1,prof,chem,NotA,NotA,std_mat,IT,btech,4,Yes
0,1,prof,eni,NotA,NotA,std_mat,ece,mtech,2,Yes
0,1,prof,IT,NotA,NotA,std_mat,eni,mtech,2,Yes
1,1,prof,chem,NotA,NotA,attdn,cse,mtech,1,Yes
1,1,prof,eni,NotA,NotA,attdn,cse,btech,2,Yes
2,1,stu,ece,BE,2,asgn,ece,BE,2,Yes
3,1,vis_prof,me,NotA,NotA,q_pr,me,mtech,1,Yes
-1,1,prof,chem,NotA,NotA,std_mat,chem,mtech,2,Yes
4,1,adj_prof,ece,NotA,NotA,asgn,ece,mtech,1,Yes
0,1,prof,pha,NotA,NotA,std_mat,eni,btech,2,Yes
2,1,stu,ce,BE,3,asgn,ce,BE,3,Yes
-1,1,prof,pha,NotA,NotA,std_mat,pha,btech,1,Yes
1,1,prof,IT,NotA,NotA,attdn,eni,mtech,1,Yes
0,1,prof,IT,NotA,NotA,std_mat,me,btech,4,Yes
4,1,adj_prof,cse,NotA,NotA,asgn,cse,btech,3,Yes
5,1,adj_prof,me,NotA,NotA,q_pr,me,mtech,2,Yes
1,1,prof,eni,NotA,NotA,attdn,ce,btech,2,Yes
5,1,adj_prof,cse,NotA,NotA,q_pr,cse,mtech,1,Yes
0,1,prof,chem,NotA,NotA,std_mat,pha,btech,1,Yes
1,1,prof,chem,NotA,NotA,attdn,cse,mtech,2,Yes
-1,1,prof,IT,NotA,NotA,stu_rec,eni,btech,1,Yes
3,1,vis_prof,cse,NotA,NotA,q_pr,cse,mtech,1,Yes
6,1,prof,ece,NotA,NotA,proj,ece,btech,2,Yes
2,1,stu,cse,BE,1,asgn,cse,BE,1,Yes
0,1,prof,pha,NotA,NotA,std_mat,ce,btech,2,Yes
1,1,prof,chem,NotA,NotA,attdn,ece,btech,2,Yes
-1,1,prof,pha,NotA,NotA,std_mat,pha,mtech,2,Yes
7,1,vis_prof,me,NotA,NotA,asgn,me,mtech,1,Yes
5,1,adj_prof,ce,NotA,NotA,q_pr,ce,btech,1,Yes
2,1,stu,cse,BE,3,asgn,cse,BE,3,Yes
1,1,prof,chem,NotA,NotA,attdn,IT,btech,2,Yes
4,1,adj_prof,ce,NotA,NotA,asgn,ce,btech,3,Yes
1,1,prof,pha,NotA,NotA,attdn,ce,btech,2,Yes
3,1,vis_prof,cse,NotA,NotA,q_pr,cse,btech,3,Yes
3,1,vis_prof,ce,NotA,NotA,q_pr,ce,btech,3,Yes
1,1,prof,IT,NotA,NotA,attdn,eni,btech,4,Yes
0,1,prof,pha,NotA,NotA,std_mat,IT,mtech,1,Yes
2,1,stu,eni,btech,1,asgn,eni,btech,1,Yes
0,1,prof,IT,NotA,NotA,std_mat,ce,btech,1,Yes
1,1,prof,IT,NotA,NotA,attdn,pha,btech,4,Yes
1,1,prof,IT,NotA,NotA,attdn,ce,btech,2,Yes
2,1,stu,pha,mtech,2,asgn,pha,mtech,2,Yes
1,1,prof,eni,NotA,NotA,attdn,cse,btech,4,Yes
-1,1,prof,chem,NotA,NotA,std_mat,chem,btech,4,Yes
0,1,prof,IT,NotA,NotA,std_mat,ce,mtech,2,Yes
0,1,prof,chem,NotA,NotA,std_mat,me,btech,3,Yes
0,1,prof,chem,NotA,NotA,std_mat,IT,btech,2,Yes
0,1,prof,IT,NotA,NotA,std_mat,eni,mtech,1,Yes
6,1,prof,cse,NotA,NotA,proj,cse,btech,2,Yes
-1,1,officer,accounts,NotA,NotA,dept_bud,ece,NotA,NotA,Yes
0,1,prof,chem,NotA,NotA,std_mat,ece,btech,3,Yes
-1,1,prof,pha,NotA,NotA,attdn,pha,btech,1,Yes
0,1,prof,pha,NotA,NotA,std_mat,me,btech,1,Yes
5,1,adj_prof,cse,NotA,NotA,q_pr,cse,btech,2,Yes
2,1,stu,pha,mtech,1,asgn,pha,mtech,1,Yes
1,1,prof,eni,NotA,NotA,attdn,cse,btech,3,Yes
0,1,prof,pha,NotA,NotA,std_mat,me,btech,2,Yes
1,1,prof,pha,NotA,NotA,attdn,cse,mtech,1,Yes
2,1,stu,me,ME,1,asgn,me,ME,1,Yes
0,1,prof,chem,NotA,NotA,std_mat,ce,mtech,2,Yes
0,1,prof,eni,NotA,NotA,std_mat,ece,btech,4,Yes
3,1,vis_prof,me,NotA,NotA,q_pr,me,btech,2,Yes
1,1,prof,IT,NotA,NotA,attdn,me,mtech,1,Yes
0,1,prof,IT,NotA,NotA,std_mat,pha,btech,4,Yes
0,1,prof,eni,NotA,NotA,std_mat,me,mtech,2,Yes
0,1,prof,IT,NotA,NotA,std_mat,me,mtech,1,Yes
1,1,prof,pha,NotA,NotA,attdn,ece,btech,2,Yes
6,1,prof,cse,NotA,NotA,proj,cse,btech,4,Yes
0,1,prof,IT,NotA,NotA,std_mat,me,btech,2,Yes
4,1,adj_prof,me,NotA,NotA,asgn,me,btech,2,Yes
0,1,prof,IT,NotA,NotA,std_mat,chem,btech,1,Yes
0,1,prof,chem,NotA,NotA,std_mat,IT,btech,1,Yes
1,1,prof,IT,NotA,NotA,attdn,chem,mtech,2,Yes
3,1,vis_prof,ece,NotA,NotA,q_pr,ece,btech,2,Yes
1,1,prof,IT,NotA,NotA,attdn,chem,btech,2,Yes
1,1,prof,IT,NotA,NotA,attdn,me,btech,1,Yes
1,1,prof,eni,NotA,NotA,attdn,chem,btech,1,Yes
2,1,stu,ce,BE,4,asgn,ce,BE,4,Yes
0,1,prof,IT,NotA,NotA,std_mat,pha,btech,2,Yes
0,1,prof,pha,NotA,NotA,std_mat,ece,btech,2,Yes
0,1,prof,pha,NotA,NotA,std_mat,chem,btech,2,Yes
8,1,prof,ce,NotA,NotA,quiz,ce,btech,3,Yes
0,1,prof,eni,NotA,NotA,std_mat,me,btech,2,Yes
5,1,adj_prof,ece,NotA,NotA,q_pr,ece,mtech,1,Yes
2,1,stu,eni,btech,4,asgn,eni,btech,4,Yes
4,1,adj_prof,me,NotA,NotA,asgn,me,mtech,2,Yes
0,1,prof,eni,NotA,NotA,std_mat,chem,mtech,1,Yes
5,1,adj_prof,ece,NotA,NotA,q_pr,ece,btech,4,Yes
3,1,vis_prof,ce,NotA,NotA,q_pr,ce,btech,4,Yes
7,1,vis_prof,me,NotA,NotA,asgn,me,mtech,2,Yes
0,1,prof,chem,NotA,NotA,std_mat,me,btech,1,Yes
0,1,prof,chem,NotA,NotA,std_mat,me,btech,2,Yes
0,1,prof,eni,NotA,NotA,std_mat,ece,btech,3,Yes
