Designation,Department,Degree,Year,Type,Department,Degree,Year,Access
stu,ece,btech,2,attdn,ce,mtech,2,No
stu,ece,btech,4,off_rec,accounts,NotA,NotA,No
stu,me,mtech,1,asgn,ce,btech,1,No
stu,ece,btech,2,q_pr,ece,btech,2,No
stu,cse,btech,1,stu_rec,me,btech,1,No
stu,cse,mtech,2,grade_book,ce,mtech,2,No
stu,me,mtech,2,std_mat,ce,btech,1,No
prof,me,NotA,NotA,stu_rec,cse,btech,2,Yes
prof,cse,NotA,NotA,grade_book,ece,btech,4,No
stu,ece,mtech,2,asgn,ce,btech,2,No
stu,cse,btech,4,stu_rec,ce,btech,4,No
stu,ece,btech,4,asgn,me,mtech,1,No
stu,ce,btech,1,attdn,ce,btech,3,No
stu,cse,btech,1,grade_book,ece,btech,4,No
stu,me,btech,3,grade_book,ce,mtech,2,No
stu,cse,mtech,2,off_rec,accounts,NotA,NotA,No
stu,me,mtech,2,asgn,me,btech,1,No
prof,ece,NotA,NotA,stu_rec,ece,btech,4,Yes
stu,cse,btech,4,stu_rec,me,mtech,2,No
prof,me,NotA,NotA,std_mat,me,btech,2,Yes
prof,cse,NotA,NotA,std_mat,ece,btech,4,Yes
stu,ece,btech,4,asgn,ece,mtech,2,No
stu,me,mtech,2,grade_book,ece,btech,2,No
stu,ce,btech,3,grade_book,ece,btech,3,No
stu,cse,mtech,1,std_mat,ce,mtech,2,No
stu,ece,btech,4,attdn,cse,btech,1,No
stu,me,btech,3,stu_rec,ce,btech,2,No
stu,ce,btech,1,stu_rec,cse,btech,2,No
stu,ece,btech,3,attdn,ce,btech,3,No
stu,ece,btech,3,attdn,ece,mtech,1,No
prof,ce,NotA,NotA,stu_rec,ce,btech,3,Yes
stu,me,btech,1,q_pr,ce,mtech,1,No
stu,cse,mtech,2,attdn,ece,btech,4,No
officer,accounts,NotA,NotA,grade_book,cse,mtech,2,No
stu,ece,mtech,1,grade_book,ce,btech,3,No
stu,me,btech,2,std_mat,ece,btech,4,No
stu,cse,mtech,2,stu_rec,cse,mtech,2,No
stu,me,btech,1,q_pr,me,mtech,2,No
stu,cse,btech,2,q_pr,ece,btech,2,No
stu,ce,btech,4,q_pr,me,btech,3,No
stu,ce,mtech,1,grade_book,ece,btech,1,No
stu,ce,btech,2,q_pr,me,mtech,1,No
stu,me,btech,2,stu_rec,me,mtech,2,No
prof,me,NotA,NotA,grade_book,me,mtech,2,Yes
stu,ece,btech,2,std_mat,cse,btech,4,No
stu,me,btech,3,asgn,ece,btech,1,No
stu,cse,btech,3,attdn,cse,btech,1,No
stu,ce,mtech,1,stu_rec,me,mtech,2,No
stu,cse,mtech,1,grade_book,ece,btech,3,No
stu,me,btech,1,attdn,ece,btech,4,No
stu,me,btech,3,attdn,me,btech,2,No
stu,me,btech,1,attdn,ce,btech,2,No
stu,ece,btech,3,attdn,me,btech,2,No
prof,me,NotA,NotA,attdn,ce,btech,1,Yes
stu,ece,mtech,2,q_pr,ce,btech,1,No
stu,me,btech,2,std_mat,ece,btech,2,No
stu,cse,mtech,1,q_pr,ece,btech,3,No
stu,cse,mtech,1,std_mat,ce,btech,4,No
stu,ece,btech,3,q_pr,ce,btech,2,No
stu,me,btech,2,grade_book,ce,mtech,2,No
prof,me,NotA,NotA,grade_book,ece,btech,4,No
stu,cse,btech,3,std_mat,ece,btech,2,No
stu,cse,mtech,1,grade_book,cse,mtech,2,No
stu,ce,btech,2,asgn,ce,mtech,1,No
stu,cse,btech,3,stu_rec,me,btech,1,No
stu,cse,btech,4,asgn,ece,btech,4,No
stu,ce,btech,4,q_pr,ce,btech,2,No
stu,ece,btech,2,grade_book,ece,mtech,2,No
stu,ce,btech,3,asgn,ece,mtech,1,No
stu,me,btech,1,std_mat,cse,btech,1,No
stu,cse,mtech,2,stu_rec,me,mtech,2,No
stu,cse,btech,4,std_mat,me,btech,4,No
stu,ce,btech,3,std_mat,me,btech,1,No
stu,ce,mtech,2,attdn,ce,mtech,2,No
stu,ece,mtech,2,q_pr,me,btech,3,No
stu,cse,mtech,1,stu_rec,ece,mtech,1,No
stu,ece,mtech,1,grade_book,me,btech,2,No
stu,cse,btech,4,grade_book,me,btech,2,No
stu,ce,btech,2,std_mat,ece,btech,3,No
stu,ece,btech,2,attdn,cse,btech,1,No
stu,cse,btech,2,attdn,ce,mtech,2,No
stu,cse,btech,4,grade_book,ece,btech,3,No
stu,me,mtech,1,attdn,me,mtech,2,No
stu,cse,mtech,2,attdn,cse,btech,3,No
prof,ce,NotA,NotA,attdn,ece,mtech,1,Yes
stu,ce,btech,4,std_mat,cse,mtech,2,No
stu,ce,btech,4,attdn,cse,mtech,2,No
stu,ce,mtech,2,std_mat,ce,btech,3,No
prof,cse,NotA,NotA,q_pr,ce,btech,2,No
stu,cse,mtech,2,stu_rec,cse,btech,3,No
stu,me,btech,1,attdn,ece,mtech,1,No
stu,me,mtech,1,q_pr,ece,mtech,2,No
stu,me,btech,3,std_mat,me,btech,2,Yes
prof,ece,NotA,NotA,asgn,ece,mtech,2,Yes
stu,cse,btech,2,asgn,ce,mtech,1,No
stu,cse,btech,3,q_pr,me,mtech,2,No
stu,ce,btech,4,asgn,cse,btech,4,No
stu,cse,btech,1,grade_book,ece,btech,2,No
stu,cse,btech,2,stu_rec,ece,btech,4,No
stu,ece,mtech,2,stu_rec,me,mtech,1,No
prof,cse,NotA,NotA,grade_book,ece,btech,1,No
stu,ece,btech,2,q_pr,ce,mtech,1,No
stu,ece,btech,4,attdn,ce,btech,2,No
stu,me,btech,3,attdn,ce,btech,1,No
stu,cse,mtech,2,grade_book,cse,btech,3,No
stu,me,mtech,2,grade_book,me,mtech,1,No
stu,cse,btech,3,q_pr,cse,btech,2,No
stu,ce,mtech,1,stu_rec,ece,mtech,1,No
prof,ce,NotA,NotA,asgn,ce,mtech,1,Yes
stu,cse,mtech,1,stu_rec,cse,mtech,2,No
stu,me,btech,3,grade_book,me,mtech,1,No
stu,ece,btech,4,q_pr,ece,mtech,2,No
stu,ce,btech,2,asgn,ce,btech,4,No
stu,ece,btech,4,stu_rec,me,mtech,1,No
stu,cse,btech,2,std_mat,me,mtech,1,No
stu,cse,btech,2,stu_rec,me,btech,2,No
stu,me,btech,2,grade_book,cse,btech,3,No
stu,cse,btech,4,q_pr,ece,btech,2,No
prof,ece,NotA,NotA,grade_book,me,btech,3,No
stu,ece,btech,3,grade_book,cse,btech,1,No
stu,cse,btech,3,stu_rec,cse,btech,1,No
stu,ce,btech,2,stu_rec,ce,btech,1,No
prof,ce,NotA,NotA,stu_rec,me,btech,1,Yes
prof,me,NotA,NotA,stu_rec,ce,btech,3,Yes
stu,cse,btech,1,stu_rec,ece,mtech,1,No
stu,me,btech,2,q_pr,ece,btech,3,No
stu,cse,mtech,1,stu_rec,ce,btech,4,No
stu,ce,mtech,1,asgn,cse,mtech,1,No
stu,ece,btech,2,std_mat,ece,btech,3,Yes
stu,ece,mtech,2,std_mat,me,btech,4,No
stu,me,btech,1,asgn,ce,btech,1,No
