Designation,Post,Course,Department,Degree,Year,Type,Department.1,Course.1,Degree.1,Year.1,Access
Teaching_assis,Temporary,CSE_15,CSE,NotA,NotA,assgn,CSE,CSE_15,BTech,4,Yes
Teaching_assis,Temporary,Mech_20,Mech,NotA,NotA,assgn,Mech,Mech_20,MTech,4,Yes
Teaching_assis,PhD,ECE_16,ECE,BTech,4,report_assgn,ECE,ECE_19,BTech,4,Yes
Teaching_assis,Temporary,Mech_21,Mech,NotA,NotA,answer_sheet,Mech,Mech_21,BTech,1,Yes
Faculty,Associate,Mech_14,Mech,NotA,NotA,report_assgn,Mech,Mech_14,BTech,4,Yes
Faculty,Temporary,Mech_18,Mech,NotA,NotA,answer_sheet,Mech,Mech_18,BTech,4,Yes
Faculty,Temporary,CE_2,CE,NotA,NotA,compre_paper,CE,CE_2,MTech,4,Yes
Faculty,Temporary,CSE_5,CSE,NotA,NotA,compre_paper,CSE,CSE_5,MTech,3,Yes
Faculty,Temporary,CSE_6,CSE,NotA,NotA,assgn,CSE,CSE_6,MTech,4,Yes
Teaching_assis,Temporary,CE_19,CE,NotA,NotA,mids_paper,CE,CE_19,BTech,2,Yes
Teaching_assis,Temporary,CE_20,CE,NotA,NotA,answer_sheet,CE,CE_20,BTech,4,Yes
Teaching_assis,Temporary,CE_26,CE,NotA,NotA,assgn,CE,CE_26,BTech,1,Yes
Teaching_assis,PhD,Mech_1,Mech,BTech,1,report_assgn,Mech,Mech_5,BTech,1,Yes
Stud,Undergraduate,ECE_13,ECE,BTech,3,report_assgn,ECE,ECE_13,BTech,3,Yes
Stud_representative,Undergraduate,CE_20,CE,BTech,4,compre_paper,CE,CE_20,BTech,4,Yes
Stud_representative,Graduate,CSE_29,CSE,MTech,2,attendance,CSE,CSE_30,MTech,2,Yes
Teaching_assis,PhD,CE_6,CE,BTech,2,report_assgn,CE,CE_10,BTech,2,Yes
